Time,Lead I,Lead II,Lead III,aVR,aVL,aVF
1.295,-0.360527,0.450031,0.810558,-0.0516757,-0.676126,0.727801
1.3,-0.321484,0.285635,0.607119,0.0206973,-0.536129,0.515432
1.305,-0.270291,0.182604,0.452895,0.0506263,-0.417531,0.366905
1.31,-0.223076,0.125003,0.348079,0.0566223,-0.329756,0.273134
1.315,-0.191069,0.0952579,0.286327,0.0553166,-0.275625,0.220308
1.32,-0.174321,0.0803201,0.254641,0.0542717,-0.247662,0.19339
1.325,-0.165693,0.0710814,0.236774,0.0546238,-0.232364,0.17774
1.33,-0.159357,0.062683,0.22204,0.0558149,-0.2202,0.164385
1.335,-0.152642,0.0544816,0.207123,0.0566727,-0.20771,0.151038
1.34,-0.144221,0.0465355,0.190757,0.0563989,-0.1934,0.137001
1.345,-0.13299,0.0389004,0.17189,0.0543225,-0.176022,0.1217
1.35,-0.119082,0.0331242,0.152207,0.049628,-0.156629,0.107001
1.355,-0.106139,0.0309447,0.137084,0.0434135,-0.140425,0.0970113
1.36,-0.0989241,0.0319021,0.130826,0.0386952,-0.132646,0.0939512
1.365,-0.0992262,0.0356508,0.134877,0.0367053,-0.135159,0.0984542
1.37,-0.10513,0.0421296,0.147259,0.036373,-0.145717,0.109344
1.375,-0.112021,0.0501052,0.162126,0.035747,-0.158279,0.122532
1.38,-0.114722,0.0565883,0.17131,0.0335635,-0.165141,0.131577
1.385,-0.109858,0.0597683,0.169626,0.0289192,-0.16136,0.132441
1.39,-0.100436,0.061754,0.16219,0.022333,-0.151627,0.129294
1.395,-0.0938961,0.065239,0.159135,0.0165452,-0.146088,0.129542
1.4,-0.0933141,0.0712606,0.164575,0.0127326,-0.148892,0.136159
1.405,-0.0943039,0.0793093,0.173613,0.00865714,-0.154682,0.146025
1.41,-0.092998,0.0883288,0.181327,0.00269579,-0.158381,0.155686
1.415,-0.0900118,0.0974942,0.187506,-0.00431993,-0.160225,0.164545
1.42,-0.0853805,0.106349,0.191729,-0.0121059,-0.159989,0.172095
1.425,-0.0781083,0.114262,0.19237,-0.0208732,-0.156161,0.177034
1.43,-0.0695282,0.120481,0.19001,-0.0294178,-0.149844,0.179262
1.435,-0.0628112,0.12561,0.188421,-0.0362566,-0.145049,0.181305
1.44,-0.0588278,0.130954,0.189782,-0.0416421,-0.143535,0.185177
1.445,-0.0549678,0.137205,0.192173,-0.0474799,-0.142687,0.190167
1.45,-0.0476722,0.143724,0.191397,-0.0554557,-0.138026,0.193482
1.455,-0.0361235,0.15074,0.186863,-0.0661738,-0.128741,0.194915
1.46,-0.0233951,0.157601,0.180996,-0.0774837,-0.118005,0.195489
1.465,-0.0143197,0.163097,0.177417,-0.0858968,-0.110699,0.196596
1.47,-0.0116787,0.166585,0.178264,-0.0894353,-0.109663,0.199099
1.475,-0.0142846,0.167906,0.182191,-0.0886934,-0.113435,0.202128
1.48,-0.0177104,0.167876,0.185586,-0.0866979,-0.117373,0.204071
1.485,-0.0175197,0.167287,0.184806,-0.0864679,-0.116813,0.203281
1.49,-0.01312,0.166069,0.179189,-0.0883054,-0.11103,0.199335
1.495,-0.00783028,0.164036,0.171867,-0.0901855,-0.103748,0.193934
1.5,-0.0046265,0.161903,0.166529,-0.0908033,-0.0988167,0.18962
1.505,-0.00400727,0.161074,0.165081,-0.0906824,-0.0976232,0.188306
1.51,-0.00589622,0.162222,0.168118,-0.0902546,-0.100467,0.190722
1.515,-0.0106858,0.166068,0.176754,-0.0897098,-0.108218,0.197928
1.52,-0.0189008,0.171808,0.190709,-0.0882812,-0.121018,0.209299
1.525,-0.0303924,0.177679,0.208071,-0.0850358,-0.137677,0.222713
1.53,-0.0425991,0.181915,0.224514,-0.080434,-0.154218,0.234652
